Half Day,Неполный рабочий день,
Half Day Date is mandatory,Дата неполного рабочего дня обязательна,
Half Day Date should be between From Date and To Date,Дата неполного рабочего дня должна быть в пределах периода,
Half Day Date should be in between Work From Date and Work End Date,Дата неполного рабочего дня должна быть в пределах рабочего периода,
Half day date should be in between from date and to date,Дата неполного рабочего дня должна быть между датой начала и окончания,
Hello,Здравствуйте,
House rent paid days overlapping with {0},Дни оплаты аренды жилья пересекаются с {0},
House rented dates required for exemption calculation,Даты аренды жилья необходимы для расчета налогового вычета,
House rented dates should be atleast 15 days apart,Периоды аренды жилья должны быть разделены минимум 15 днями,
Interest Amount,Сумма процентов,
Intern,Стажер,
Job Description,Должностная инструкция,
Job Offer,Предложение о работе,
Jobs,Вакансии,
Leave Approval Notification,Уведомление об утверждении отпуска,
Leave Blocked,Отпуск заблокирован,
Leave Encashment,Компенсация за неиспользованный отпуск,
Leave Status Notification,Уведомление о статусе отпуска
Leave Type,Тип отпуска,
Leave Type is madatory,Тип отпуска обязателен к заполнению,
Leave Type {0} cannot be allocated since it is leave without pay,"Тип отпуска {0} не может быть назначен, так как это неоплачиваемый отпуск",
Leave Type {0} cannot be carry-forwarded,Тип отпуска {0} не может быть перенесен на следующий период,
Leave Type {0} is not encashable,Тип отпуска {0} не подлежит денежной компенсации,
Leave Without Pay,Отпуск без сохранения заработной платы,
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Невозможно назначить отпуск до {0}, так как остаток дней уже перенесен в будущий период распределения отпусков {1}",
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Невозможно оформить/отменить отпуск до {0}, так как остаток дней уже перенесен в будущий период распределения отпусков {1}",
Leave of type {0} cannot be longer than {1},Отпуск типа {0} не может быть длиннее {1},
Leaves,Отпуска,
Leaves Allocated Successfully for {0},Отпуска успешно распределены для сотрудника {0},
Leaves per Year,Количество дней отпуска в год,
Lifecycle,Жизненный цикл,
Mark Attendance,Отметить присутствие,
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Сумма налогового вычета не может превышать максимальную сумму {0} для категории налоговых льгот {1},
Max benefits should be greater than zero to dispense benefits,Максимальный размер льгот должен быть больше нуля для их предоставления,
Maximum amount eligible for the component {0} exceeds {1},Максимально допустимая сумма для компонента {0} превышает {1},
Maximum benefit amount of component {0} exceeds {1},Максимальная сумма льгот по компоненту {0} превышает {1},
Maximum benefit amount of employee {0} exceeds {1},Максимальная сумма льгот сотрудника {0} превышает {1},
Maximum leave allowed in the leave type {0} is {1},Максимальная продолжительность отпуска типа {0} составляет {1},
Medical,Медицинский отпуск,
Mode of payment is required to make a payment,Необходимо указать способ оплаты,
More than one selection for {0} not allowed,Множественный выбор для {0} не допускается,
Net Pay,Заработная плата к выдаче,
Net Pay cannot be less than 0,Заработная плата к выдаче не может быть меньше 0,
Net Salary Amount,Сумма заработной платы к выдаче,
Net pay cannot be negative,Заработная плата к выдаче не может быть отрицательной,
No Employee Found,Сотрудник не найден,
No Salary Structure assigned for Employee {0} on given date {1},Структура оплаты труда не назначена сотруднику {0} на дату {1},
No Staffing Plans found for this Designation,Штатное расписание не найдено для данной должности,
No active or default Salary Structure found for employee {0} for the given dates,Активная или стандартная структура оплаты труда не найдена для сотрудника {0} на указанные даты,
No more updates,Обновления отсутствуют,
No replies from,Нет ответов от,
No salary slip found to submit for the above selected criteria OR salary slip already submitted,Расчетный лист не найден для указанных критериев или уже отправлен,
Nothing to change,Изменения отсутствуют,
Notice Period,Период уведомления об увольнении,
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Можно отправить только заявления на отпуск со статусом 'Одобрено' или 'Отклонено',
Optional Holiday List not set for leave period {0},Список дополнительных праздничных дней не установлен для периода отпусков {0},
Part-time,Частичная занятость,
Password policy for Salary Slips is not set,Политика паролей для расчетных листов не установлена,
Payment Days,Расчетные дни,
Payment of {0} from {1} to {2},Выплата {0} за период с {1} по {2},
Payroll,Расчет заработной платы,
Payroll Number,Номер расчетной ведомости,
Piecework,Сдельная оплата труда,
Please add the remaining benefits {0} to any of the existing component,Добавьте оставшиеся льготы {0} к любому из существующих компонентов,
Please confirm once you have completed your training,"Пожалуйста, подтвердите завершение обучения",
Please enable default incoming account before creating Daily Work Summary Group,Настройте учетную запись по умолчанию перед созданием группы ежедневной отчетности,
Please select Company and Designation,Выберите компанию и должность,
Please select Employee,"Пожалуйста, выберите сотрудника",
Please select a csv file,"Пожалуйста, выберите файл CSV",
Please set default template for Leave Approval Notification in HR Settings.,"Пожалуйста, установите шаблон по умолчанию для уведомления об утверждении отпуска в настройках персонала",
Please set default template for Leave Status Notification in HR Settings.,"Пожалуйста, установите шаблон по умолчанию для уведомления о статусе отпуска в настройках персонала",
Please set the Company,Укажите компанию,
Please set the Date Of Joining for employee {0},Укажите дату приема на работу для сотрудника {0},
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',"Пожалуйста, оставьте отзыв об обучении, нажав 'Отзыв об обучении', затем 'Создать'",
Please update your status for this training event,Обновите свой статус для данного учебного мероприятия,
Present,Присутствует,
Preview Salary Slip,Предварительный просмотр расчетного листа,
Privilege Leave,Ежегодный оплачиваемый отпуск,
Probation,Испытательный срок,
Probationary Period,Испытательный период,
Property,Параметр,
Property already added,Параметр уже добавлен,
Replies,Ответы,
Responsibilities,Должностные обязанности,
Role,Роль,
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},Строка {0}# Распределенная сумма {1} не может превышать неиспользованную сумму {2},
Row {0}# Paid Amount cannot be greater than requested advance amount,Строка {0}# Выплаченная сумма не может превышать запрошенную сумму аванса,
Salary Slip ID,Номер расчетного листа,
Salary Slip of employee {0} already created for this period,Расчетный лист сотрудника {0} уже создан за этот период,
Salary Slip of employee {0} already created for time sheet {1},Расчетный лист сотрудника {0} уже создан для табеля учета рабочего времени {1},
Salary Structure Assignment for Employee already exists,Структура оплаты труда уже назначена сотруднику,
Salary Structure Missing,Отсутствует структура оплаты труда,
Salary Structure not found for employee {0} and date {1},Структура оплаты труда не найдена для сотрудника {0} на дату {1},
Salary Structure should have flexible benefit component(s) to dispense benefit amount,Структура оплаты труда должна включать компоненты гибких льгот для начисления выплат,
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Заработная плата уже обработана за период с {0} по {1}, период отпуска не может попадать в этот диапазон дат",
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Утвержденная сумма не может превышать заявленную сумму в строке {0},
Score must be less than or equal to 5,Оценка должна быть меньше или равна 5,
Select Property,Выберите параметр,
Select an employee to get the employee advance.,Выберите сотрудника для получения аванса,
Service Expense,Стоимость услуги,
Show Employee,Показать сотрудника,
Show Salary Slip,Показать зарплатную ведомость,
Sick Leave,Отпуск по болезни,
"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}","Пропуск присвоения структуры зарплаты для следующих сотрудников, поскольку записи о назначении структуры зарплаты уже существуют для них. {0}",
Staffing Plan {0} already exist for designation {1},Кадровый план {0} уже существует для обозначения {1},
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Даты начала и окончания вне действительного расчетного периода, расчет {0} невозможен",
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Даты начала и окончания вне действительного расчетного периода, расчет {0} невозможен.",
Stock Options,Опционы,
Structures have been assigned successfully,Структуры были успешно назначены,
Submit Proof,Отправить подтверждение,
Submit Salary Slip,Утвердить зарплатную ведомость,
Submit this to create the Employee record,"Утвердите это, чтобы создать запись сотрудника",
Submitting Salary Slips...,Проводка зарплатных ведомостей...,
Team Updates,Обновления по коллективу,
Thank you,Спасибо,
The day(s) on which you are applying for leave are holidays. You need not apply for leave.,"Дни, на которые вы подаете заявление на отпуск, являются праздничными. Заявление на отпуск не требуется.",
There are more holidays than working days this month.,"В этом месяце праздничных дней больше, чем рабочих.",
There is no leave period in between {0} and {1},Между датами {0} и {1} нет периода отпуска
This is based on the attendance of this Employee,Основано на данных учета рабочего времени сотрудника,
This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,Будут отправлены расчетные листы и создана запись в журнале начислений. Продолжить?,
To date can not be equal or less than from date,Дата окончания не может быть равной или меньше даты начала,
To date can not be less than from date,Дата окончания не может быть меньше даты начала,
To date can not greater than employee's relieving date,Дата окончания не может быть позже даты увольнения сотрудника,
Total Absent,Всего дней отсутствия,
Total Deduction,Общая сумма удержаний,
Total Leaves,Всего дней отпуска,
Total Present,Всего дней присутствия,
Total advance amount cannot be greater than total sanctioned amount,Общая сумма аванса не может пр��вышать общую утвержденную сумму,
Total flexible benefit component amount {0} should not be less than max benefits {1},Общая сумма компонентов гибких льгот {0} не должна быть меньше максимального размера льгот {1},
Total leaves allocated is mandatory for Leave Type {0},Общее количество дней отпуска обязательно для указания в типе отпуска {0},
Total working hours should not be greater than max working hours {0},Общее количество рабочих часов не должно превышать максимально допустимое {0},
Training,Обучение,
Training Event,Обучающее мероприятие,
Training Events,Обучающие мероприятия,
Training Feedback,Отзыв об обучении,
Training Result,Результаты обучения,
Travel,Командировки,
Update Response,Обновить ответ,
Value missing,Отсутствует значение,
Variable,Переменная,
Walk In,Прямое обращение,
Warning: Leave application contains following block dates,Внимание: Заявление на отпуск содержит следующие блокированные даты,
Website Listing,Список вакансий на сайте,
Work Summary for {0},Сводка работы для {0},
You are not authorized to approve leaves on Block Dates,У вас нет прав для утверждения отпусков в блокированные даты,
You are not present all day(s) between compensatory leave request days,Вы отсутствовали в течение всех дней между датами запроса отгула,
You can only submit Leave Encashment for a valid encashment amount,Вы можете отправить заявление на компенсацию отпуска только на действительную сумму,
{0} already allocated for Employee {1} for period {2} to {3},{0} уже назначено сотруднику {1} на период с {2} по {3},
{0} applicable after {1} working days,{0} применяется после {1} рабочих дней,
{0} is not in Optional Holiday List,{0} отсутствует в списке дополнительных праздничных дней,
{0} is not in a valid Payroll Period,{0} не входит в действительный расчетный период,
{0} must be submitted,{0} требуется отправить,
"{0}: Employee email not found, hence email not sent","{0}: Электронная почта сотрудника не найдена, уведомление не отправлено",
{0}: From {0} of type {1},{0}: От {0} типа {1},
Conditions,Условия,
Percent,Процент,
Error in some rows,Ошибки в некоторых строках,
Benefit,Льгота,
Shift,Смена,
Importing {0} of {1},Импорт: {0} из {1},
'employee_field_value' and 'timestamp' are required.,Поля 'employee_field_value' и 'timestamp' обязательны для заполнения,
Allocation Expired!,Срок распределения истек!,
Attendance Marked,Присутствие отмечено,
Attendance has been marked as per employee check-ins,Присутствие отмечено согласно регистрации прихода сотрудников,
Date Range,Период дат,
Event Link,Ссылка на мероприятие,
Expire Allocation,Завершить срок распределения,
Fuel Expense,Расходы на топливо,
Intermediate,Средний уровень,
Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,Заявление на отпуск связано с распределением отпускных дней {0}. Невозможно установить статус неоплачиваемого отпуска,
Log Type is required for check-ins falling in the shift: {0}.,Необходимо указать тип регистрации для отметок прихода в смену: {0},
No Employee found for the given employee field value. '{}': {},Сотрудник не найден по указанному значению поля. '{}': {},
No Leaves Allocated to Employee: {0} for Leave Type: {1},Сотруднику {0} не назначены дни отпуска типа: {1},
Only expired allocation can be cancelled,Можно отменить только истекшее распределение,
Only users with the {0} role can create backdated leave applications,Только пользователи с ролью {0} могут создавать заявления на отпуск задним числом,
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,Политика паролей не может содержать пробелы или несколько дефисов подряд. Формат будет изменен автоматически,
Please enter the designation,"Пожалуйста, укажите должность",
There are no vacancies under staffing plan {0},В штатном расписании {0} нет вакантных позиций,
This employee already has a log with the same timestamp.{0},У сотрудника уже есть запись с указанным временем {0},
Timing,Временные параметры,
To date needs to be before from date,Дата окончания должна быть позже даты начала,
Total Early Exits,Всего ранних уходов,
Total Late Entries,Всего опозданий,
Training Event:,Обучающее мероприятие:,
Unable to find Salary Component {0},Не найден компонент заработной платы {0},
Unmarked Attendance for days,Необработанные данные учета рабочего времени,
Vacancies cannot be lower than the current openings,Количество вакансий не может быть меньше текущих открытых позиций,
{} is an invalid Attendance Status.,{} недействительный статус присутствия,
Printed On,Дата печати,
No employee found,Сотрудник не найден,
Please setup Employee Naming System in Human Resource > HR Settings,Наст��ойте систему именования сотрудников в разделе Управление персоналом > Настройки персонала,
Please setup numbering series for Attendance via Setup > Numbering Series,Настройте нумерацию для учета рабочего времени через Настройки > Серии номеров,
Current Odometer Value should be greater than Last Odometer Value {0},Текущее показание одометра должно быть больше предыдущего значения {0},
No additional expenses has been added,Дополнительные расходы не добавлены,
{0} already exists for employee {1} and period {2},{0} уже существует для сотрудника {1} за период {2},
Leaves Allocated,Назначенные отпуска,
Leave Without Pay does not match with approved {} records,Неоплачиваемый отпуск не соответствует утвержденным записям: {},
Income Tax Slab not set in Salary Structure Assignment: {0},Шкала подоходного налога не указана в назначении структуры оплаты труда: {0},
Income Tax Slab: {0} is disabled,Шкала подоходного налога: {0} отключена,
Income Tax Slab must be effective on or before Payroll Period Start Date: {0},Шкала подоходного налога должна вступить в силу не позднее даты начала расчетного периода: {0},
No leave record found for employee {0} on {1},Для сотрудника {0} не найдена запись об отпуске на {1},
Row {0}: {1} is required in the expenses table to book an expense claim.,Строка {0}: {1} обязательно для оформления авансового отчета,
Set the default account for the {0} {1},Установите счет ��о умолчанию для {0} {1},
(Half Day),(Неполный рабочий день),
Income Tax Slab,Шкала подоходного налога,
Row #{0}: Cannot set amount or formula for Salary Component {1} with Variable Based On Taxable Salary,Строка #{0}: невозможно установить сумму или формулу для компонента заработной платы {1} с переменной на основе налогооблагаемой базы,
Repay From Salary can be selected only for term loans,Погашение из заработной платы доступно только для срочных займов,
Salary Component Account,Счет компонента заработной платы,
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Банковский счет или касса по умолчанию будут автоматически обновлены в записи журнала заработной платы при выборе этого режима,
Result,Результат,
Total Score,Общая оценка,
Joining Date,Дата приема на работу,
Publish on website,Опубликовать на сайте,
Application Status,Статус заявления,
IN,Вход,
Remind Before,Напомнить заранее,
Reminded,Напоминание отправлено,
Additional Salary,Дополнительные начисления,
Salary Component,Компонент заработной платы,
Overwrite Salary Structure Amount,Изменить сумму в структуре оплаты труда,
Deduct Full Tax on Selected Payroll Date,Удержать полную сумму налога на выбранную дату выплаты,
Payroll Date,Дата выплаты,
Salary Component Type,Тип компонента заработной платы,
Appointment Letter,Письмо о назначении на должность,
Appointment Date,Дата назначения,
Appointment Letter Template,Шаблон письма о назначении на должность,
Closing Notes,Заключительные примечания,
Appointment Letter content,Содержание письма о назначении,
Appraisal,Оценка эффективности,
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.,
For Employee Name,Имя сотрудника,
Goals,Цели,
Total Score (Out of 5),Итоговая оценка (из 5),
"Any other remarks, noteworthy effort that should go in the records.",Дополнительные комментарии и важные достижения для внесения в личное дело,
Appraisal Goal,Цель оценки эффективности,
Key Responsibility Area,Ключевая область ответственности,
Weightage (%),Вес (%),
Score (0-5),Оценка (0-5),
Score Earned,Полученная оценка,
Appraisal Template Title,Название шаблона оценки эффективности,
Appraisal Template Goal,Цель шаблона оценки эффективности,
KRA,КПЭ,
Key Performance Area,Ключевые показатели эффективности,
On Leave,В отпуске,
Work From Home,Удаленная работа,
Leave Application,Заявление на отпуск,
Attendance Date,Дата присутствия,
Attendance Request,Запрос на корректировку присутствия,
Late Entry,Опоздание,
Early Exit,Ранний уход,
Half Day Date,Дата неполного рабочего дня,
On Duty,На рабочем месте,
Explanation,Пояснение,
Compensatory Leave Request,Заявление на отгул,
Leave Allocation,Распределение отпусков,
Worked On Holiday,Работа в праздничный день,
Work From Date,Дата начала работы,
Work End Date,Дата окончания работы,
Email Sent To,Адресат электронного письма,
Select Users,Выберите пользователей,
Send Emails At,Время отправки писем,
Reminder,Напоминание,
Daily Work Summary Group User,Пользователь группы ежедневных отчетов,
email,Электронная почта,
Department Approver,Ответственный за согласование в отделе,
Approver,Согласующий,
Designation Skill,Требуемые навыки для должности,
Skill,Навык,
Leave Policy,Политика предоставления отпусков,
Salary Details,Детали заработной платы,
Claimed,Заявлено,
Employee Attendance Tool,Инструмент учета рабочего времени,
Unmarked Attendance,Необработанные данные присутствия,
Employees HTML,HTML-список сотрудников,
Marked Attendance,Обработанные данные присутствия,
Marked Attendance HTML,HTML-отчет о присутствии,
Employee Benefit Application,Заявление на льготы,
Max Benefits (Yearly),Максимальный размер льгот (в год),
Remaining Benefits (Yearly),Оставшийся размер льгот (в год),
Payroll Period,Расчетный период,
Dispensed Amount (Pro-rated),Выплаченная сумма (пропорционально),
Employee Benefit Application Detail,Детали заявления на льготы,
Earning Component,Составляющая дохода,
Pay Against Benefit Claim,Выплата по заявлению на льготы,
Max Benefit Amount,Максимальный размер льготы,
Employee Benefit Claim,Заявление сотрудника на льготы,
Claim Date,Дата подачи заявления,
Claim Benefit For,Заявление на льготу для,
Max Amount Eligible,Максимальная допустимая сумма,
Expense Proof,Подтверждение расходов,
Employee Boarding Activity,Мероприятие по адаптации сотрудника,
Activity Name,Название мероприятия,
Required for Employee Creation,Обязательно при создании учетной записи сотрудника,
Applicable in the case of Employee Onboarding,Применимо при адаптации нового сотрудника,
Employee Checkin,Отметка прихода сотрудника,
Log Type,Тип записи,
OUT,УХОД,
Location / Device ID,Местоположение / ID устройства,
Skip Auto Attendance,Пропустить автоматическое посещение,
Shift Start,Начало смены,
Shift End,Конец смены,
Shift Actual Start,Фактическое начало смены,
Shift Actual End,Фактическое окончание смены,
Default Salary Structure,Структура заработной платы по умолчанию,
Employee Health Insurance,Медицинское страхование сотрудников,
Health Insurance Name,Название медицинского страхования,
Employee Incentive,Стимулирование сотрудников,
Incentive Amount,Сумма стимулирования,
Employee Onboarding,Сотрудник по бортовому,
Notify users by email,Уведомить пользователей по электронной почте,
Employee Onboarding Template,Шаблон рабочего стола,
Employee Other Income,Другой доход сотрудника,
Employee Promotion,Продвижение сотрудников,
Promotion Date,Дата акции,
Employee Promotion Details,Сведения о содействии сотрудникам,
Employee Property History,История собственности сотрудника,
Employee Separation,Разделение сотрудников,
Employee Separation Template,Шаблон разделения сотрудников,
Exit Interview Summary,Итоги выходного интервью,
Employee Skill,Навык сотрудника,
Proficiency,Уровень владения,
Evaluation Date,Дата оценки,
Employee Skill Map,Матрица навыков сотрудника,
Employee Skills,Навыки сотрудника,
Trainings,Обучение,
Employee Tax Exemption Category,Категория налоговых льгот сотрудника,
Max Exemption Amount,Максимальная сумма льготы,
Employee Tax Exemption Declaration,Декларация налоговых льгот сотрудника,
Declarations,Декларации,
Total Declared Amount,Общая задекларированная сумма,
Total Exemption Amount,Общая сумма льгот,
Employee Tax Exemption Declaration Category,Категория декларации налоговых льгот сотрудника,
Exemption Sub Category,Подкатегория льготы,
Exemption Category,Категория льготы,
Maximum Exempted Amount,Максимальная сумма льготы,
Declared Amount,Задекларированная сумма,
Employee Tax Exemption Proof Submission,Подача подтверждающих документов по налоговым льготам,
Submission Date,Дата подачи,
Tax Exemption Proofs,Подтверждающие документы по налоговым льготам,
Total Actual Amount,Общая фактическая сумма,
Employee Tax Exemption Proof Submission Detail,Детали подтверждающих документов по налоговым льготам,
Maximum Exemption Amount,Максимальная сумма льготы,
Type of Proof,Тип подтверждающего документа,
Actual Amount,Фактическая сумма,
Employee Tax Exemption Sub Category,Подкатегория налоговых льгот сотрудника,
Tax Exemption Category,Категория налоговых льгот,
Employee Training,Обучение сотрудника,
Training Date,Дата обучения,
Employee Transfer,Перевод сотрудника,
Transfer Date,Дата перевода,
Employee Transfer Details,Детали перевода сотрудника,
Employee Transfer Detail,Детали перевода сотрудника,
Re-allocate Leaves,Перераспределить отпуска,
Create New Employee Id,Создать новый ID сотрудника,
New Employee ID,Новый ID сотрудника,
Expense Taxes and Charges,Налоги и сборы по расходам,
Total Sanctioned Amount,Общая утвержденная сумма,
Total Advance Amount,Общая сумма аванса,
Total Claimed Amount,Общая заявленная сумма,
Total Amount Reimbursed,Общая сумма возмещения,
Vehicle Log,Журнал использования транспорта,
Employees Email Id,Email-адреса сотрудников,
More Details,Дополнительные сведения,
Expense Claim Account,Счет учета расходов,
Expense Claim Advance,Заявка на авансовый отчет,
Expense Claim Detail,Детали авансового отчета,
Expense Date,Дата расхода,
Expense Claim Type,Тип авансового отчета,
HR Settings,Настройки HR,
Employee Settings,Настройки сотрудников,
Expense Approver Mandatory In Expense Claim,Обязательное утверждение авансового отчета,
Payroll Settings,Настройки расчета заработной платы,
Leave,Отпуск,
Max working hours against Timesheet,Максимальное количество рабочих часов в табеле,
Include holidays in Total no. of Working Days,Включать праздники в общее количество рабочих дней,
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Если отмечено, общее количество рабочих дней будет включать праздники, что уменьшит размер дневной оплаты",
"If checked, hides and disables Rounded Total field in Salary Slips","Если отмечено, скрывает и отключает поле 'Округленная сумма' в расчетных листках",
The fraction of daily wages to be paid for half-day attendance,Доля дневной ставки для оплаты неполного рабочего дня,
Email Salary Slip to Employee,Отправлять расчетный листок сотруднику по email,
Emails salary slip to employee based on preferred email selected in Employee,"Отправляет расчетный листок сотруднику на предпочтительный email, указанный в карточке сотрудника",
